,X,Y,Z
745,0.000470712,0.000170004,0
746,0.000443023,0.000160004,0
747,0.000415334,0.000150003,0
748,0.000387645,0.000140003,0
749,0.000359956,0.000130003,0
750,0.000332267,0.000120003,0
751,0.000304578,0.000110002,0
752,0.000276889,0.000100002,0
753,0.0002492,9.0002E-05,0
754,0.0002492,9.0002E-05,0
755,0.000221511,8.00018E-05,0
756,0.000221511,8.00018E-05,0
757,0.000193822,7.00015E-05,0
758,0.000193822,7.00015E-05,0
759,0.000166134,6.00013E-05,0
760,0.000166134,6.00013E-05,0
761,0.000166134,6.00013E-05,0
762,0.000138445,5.00011E-05,0
763,0.000138445,5.00011E-05,0
764,0.000110756,4.00009E-05,0
765,0.000110756,4.00009E-05,0
766,0.000110756,4.00009E-05,0
767,0.000110756,4.00009E-05,0
768,8.30668E-05,3.00007E-05,0
769,8.30668E-05,3.00007E-05,0
770,8.30668E-05,3.00007E-05,0
771,8.30668E-05,3.00007E-05,0
772,5.53778E-05,2.00004E-05,0
773,5.53778E-05,2.00004E-05,0
774,2.76889E-05,1.00002E-05,0
775,0,0,0
776,0,0,0
777,0,0,0
778,0,0,0
779,0,0,0
780,0,0,0
